2024/04/27 00:15:32 Count: 1, Mean: -0.068984, StdDev: 0.000000
2024/04/27 00:15:33 Count: 2, Mean: 2.945021, StdDev: 3.014005
2024/04/27 00:15:33 Count: 3, Mean: -2.946235, StdDev: 8.687344
2024/04/27 00:15:33 Count: 4, Mean: -1.082839, StdDev: 8.186525
2024/04/27 00:15:33 Count: 5, Mean: -2.181673, StdDev: 7.644939
2024/04/27 00:15:33 Count: 6, Mean: -1.930802, StdDev: 7.001352
2024/04/27 00:15:33 Count: 7, Mean: -0.724313, StdDev: 7.123898
2024/04/27 00:15:33 Count: 8, Mean: -1.995911, StdDev: 7.464913
2024/04/27 00:15:33 Count: 9, Mean: -1.690407, StdDev: 7.090834
2024/04/27 00:15:33 Count: 10, Mean: -1.794506, StdDev: 6.734201
2024/04/27 00:15:33 Count: 11, Mean: -2.312448, StdDev: 6.626419
2024/04/27 00:15:34 Count: 12, Mean: -1.368543, StdDev: 7.074661
2024/04/27 00:15:34 Count: 13, Mean: -1.116625, StdDev: 6.852906
2024/04/27 00:15:34 Count: 14, Mean: -1.014785, StdDev: 6.613826
2024/04/27 00:15:34 Count: 15, Mean: -1.613928, StdDev: 6.771420
2024/04/27 00:15:34 Count: 16, Mean: -0.727564, StdDev: 7.400741
2024/04/27 00:15:34 Count: 17, Mean: -0.719332, StdDev: 7.179849
2024/04/27 00:15:34 Count: 18, Mean: -0.606253, StdDev: 6.993119
2024/04/27 00:15:34 Count: 19, Mean: -0.644294, StdDev: 6.808515
2024/04/27 00:15:34 Count: 20, Mean: -0.021749, StdDev: 7.169501
2024/04/27 00:15:34 Count: 21, Mean: -0.178368, StdDev: 7.031688
2024/04/27 00:15:35 Count: 22, Mean: 0.041644, StdDev: 6.943606
2024/04/27 00:15:35 Count: 23, Mean: 0.201755, StdDev: 6.832379
2024/04/27 00:15:35 Count: 24, Mean: 0.286569, StdDev: 6.700880
2024/04/27 00:15:35 Count: 25, Mean: -0.413551, StdDev: 7.407412
2024/04/27 00:15:35 Count: 26, Mean: -0.271400, StdDev: 7.298257
2024/04/27 00:15:35 Count: 27, Mean: 0.124562, StdDev: 7.440983
2024/04/27 00:15:35 Count: 28, Mean: 0.391520, StdDev: 7.437404
2024/04/27 00:15:35 Count: 29, Mean: 0.508072, StdDev: 7.334026
2024/04/27 00:15:35 Count: 30, Mean: 0.507553, StdDev: 7.210756
2024/04/27 00:15:35 Count: 31, Mean: 0.536435, StdDev: 7.095264
2024/04/27 00:15:36 Count: 32, Mean: 1.175342, StdDev: 7.837336
2024/04/27 00:15:36 Count: 33, Mean: 1.028182, StdDev: 7.762442
2024/04/27 00:15:36 Count: 34, Mean: 1.324140, StdDev: 7.834143
2024/04/27 00:15:36 Count: 35, Mean: 1.029724, StdDev: 7.909956
2024/04/27 00:15:36 Count: 36, Mean: 1.156158, StdDev: 7.835108
2024/04/27 00:15:36 Count: 37, Mean: 0.901060, StdDev: 7.878608
2024/04/27 00:15:36 Count: 38, Mean: 0.997188, StdDev: 7.796210
2024/04/27 00:15:36 Count: 39, Mean: 1.079009, StdDev: 7.712121
2024/04/27 00:15:36 Count: 40, Mean: 1.616437, StdDev: 8.321911
2024/04/27 00:15:36 Count: 41, Mean: 1.242836, StdDev: 8.552671
2024/04/27 00:15:37 Count: 42, Mean: 1.125112, StdDev: 8.483795
2024/04/27 00:15:37 Count: 43, Mean: 0.983555, StdDev: 8.434604
2024/04/27 00:15:37 Count: 44, Mean: 0.971277, StdDev: 8.338594
2024/04/27 00:15:37 Count: 45, Mean: 0.800133, StdDev: 8.323207
2024/04/27 00:15:37 Count: 46, Mean: 0.935926, StdDev: 8.282485
2024/04/27 00:15:37 Count: 47, Mean: 1.146343, StdDev: 8.317251
2024/04/27 00:15:37 Count: 48, Mean: 1.105450, StdDev: 8.234930
2024/04/27 00:15:37 Count: 49, Mean: 0.953656, StdDev: 8.218036
2024/04/27 00:15:37 Count: 50, Mean: 0.957446, StdDev: 8.135484
2024/04/27 00:15:37 Count: 51, Mean: 0.847562, StdDev: 8.092716
